Country,Fund,Fund Type,Income Classification,Theme/Objective,World Bank Region,Amount of Funding Approved (USD millions)
Gambia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.2
Gambia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.9
Gambia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Gambia,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,10
Georgia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,4.64
Georgia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,5.32
Georgia,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,27.05
Georgia,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,5.3
Ghana,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,9.04
Ghana,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,8.29
Ghana,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,1.72
Ghana,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,2.5
Global,Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Not applicable,5
Global,Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Not applicable,5
Global,Global Climate Change Alliance (GCCA),Multilateral,Not applicable,Adaptation,Not applicable,8.76
Global,Global Climate Change Alliance (GCCA),Multilateral,Not applicable,Adaptation,Not applicable,74.43
Global,Global Environment Facility (GEF7),Multilateral,Not applicable,Adaptation,Not applicable,1.42
Global,Global Environment Facility (GEF7),Multilateral,Not applicable,Adaptation,Not applicable,0.68
Global,Global Environment Facility (GEF7),Multilateral,Not applicable,Adaptation,Not applicable,2
Global,Global Environment Facility (GEF7),Multilateral,Not applicable,Adaptation,Not applicable,2
Uruguay,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,0.03
Uruguay,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,9.97
Panama,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,0.03
Panama,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,9.97
Panama,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,0.02
Tajikistan,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Europe & Central Asia,7
Tajikistan,Special Climate Change Fund (SCCF),Multilateral,Low income,Adaptation,Europe & Central Asia,2.93
Tajikistan,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Europe & Central Asia,5.33
Tajikistan,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Europe & Central Asia,21.55
Tajikistan,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Europe & Central Asia,21
Tajikistan,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Europe & Central Asia,9.45
Tajikistan,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Europe & Central Asia,5
Tajikistan,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Europe & Central Asia,5.01
Tajikistan,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Europe & Central Asia,2
Tajikistan,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Europe & Central Asia,9.27
Tajikistan,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Europe & Central Asia,5
Tajikistan,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Europe & Central Asia,10
"Multi-country (Benin, Togo)",Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.02
"Multi-country (Benin, Togo)",Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.01
Philippines,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.97
Mongolia,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,1.5
Vietnam,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,3.4
Mongolia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5.5
Indonesia,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5
Philippines,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,1.05
Vietnam,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,10.87
"Regional - East Asia and Pacific (Bhutan, Cambodia, Lao PDR, Myanmar)",Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,6
Vietnam,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.57
Indonesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.03
Indonesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.03
Mongolia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.5
Indonesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.84
Indonesia,Global Environment Facility (GEF7),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,1.9
Indonesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.03
Indonesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.03
Indonesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5.97
"Multi-country (India, Sri Lanka)",Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.02
Indonesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.03
Indonesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,1.13
Vietnam,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,6.35
Mongolia,Green Climate Fund (GCF-1),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,23.101
"Multi-country (India, Sri Lanka)",Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.08
Indonesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.82
Indonesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.96
Indonesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.05
Indonesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.05
Philippines,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,1
Indonesia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.27
Moldova,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,4.26
Kyrgyz Republic,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,9.37
Kyrgyz Republic,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,5
Uzbekistan,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,5.42
Moldova,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,5
Kyrgyz Republic,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,8.58
Moldova,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,6.01
Uzbekistan,Green Climate Fund (GCF-1),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,10
Kyrgyz Republic,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,2
Kyrgyz Republic,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Europe & Central Asia,10
Nicaragua,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,5.5
Honduras,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,5.62
Nicaragua,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,6
Honduras,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,3
Nicaragua,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,7.38
Honduras,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,6.19
"Multi-country (Colombia, Ecuador)",Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,0.02
"Multi-country (Colombia, Ecuador)",Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,0.08
Honduras,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,4.38
"Multi-country (Colombia, Ecuador)",Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,14
"Multi-country (El Salvador, Honduras)",Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,0.02
"Multi-country (El Salvador, Honduras)",Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,0.08
Honduras,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,0.95
Honduras,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,1
"Multi-country (El Salvador, Honduras)",Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,12.05
Honduras,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,0.75
Morocco,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,4.35
Tunisia,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,5.5
Morocco,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,9.97
Morocco,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,0.03
Morocco,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,1.8
Morocco,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,6.51
Morocco,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,0.03
Morocco,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,36
Morocco,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,19.38
Tunisia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,10
Tunisia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,1
Pakistan,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,3.91
Sri Lanka,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,7.99
India,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,South Asia,8
Sri Lanka,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,South Asia,3.12
India,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,0.03
India,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,2.51
India,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,0.03
India,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,0.03
India,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,0.69
Pakistan,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,South Asia,3.31
India,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,1.34
India,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,0.97
India,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,1.79
India,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,0.03
India,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,0.03
India,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,2.56
Pakistan,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,South Asia,36.96
Sri Lanka,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,South Asia,38.08
India,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,South Asia,34.36
Pakistan,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,South Asia,34.99
Pakistan,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,6.09
India,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,South Asia,0.2
India,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,South Asia,0.25
Kenya,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,6.5
Swaziland,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,1.67
Kenya,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,10
Nigeria,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,13.63
Kenya,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,2.58
Kenya,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,9.87
Kenya,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.03
"Multi-country (Cote d'Ivoire, Ghana)",Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.1
Kenya,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,23.15
Kenya,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.14
Kenya,Green Climate Fund (GCF-1),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,9.53
Regional - East Asia and Pacific,Global Climate Change Alliance (GCCA),Multilateral,Not applicable,Adaptation,East Asia & Pacific,12.55
Regional - East Asia and Pacific,Global Climate Change Alliance (GCCA),Multilateral,Not applicable,Adaptation,East Asia & Pacific,12.78
"Regional - East Asia and Pacific (Cambodia, Lao PDR, Thailand, Vietnam)",Global Climate Change Alliance (GCCA),Multilateral,Not applicable,Adaptation,East Asia & Pacific,5.61
Regional - East Asia and Pacific,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,East Asia & Pacific,3.25
Regional - East Asia and Pacific,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,East Asia & Pacific,5.79
Regional - Pacific,Global Climate Change Alliance (GCCA),Multilateral,Not applicable,Adaptation,East Asia & Pacific,19.02
Regional - Pacific,Global Climate Change Alliance (GCCA),Multilateral,Not applicable,Adaptation,East Asia & Pacific,3.17
Regional - South East Asia,Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,East Asia & Pacific,0.08
"Regional - East Asia and Pacific (Fiji, Indonesia, Philippines, Solomon Islands)",Global Environment Facility (GEF7),Multilateral,Not applicable,Adaptation,East Asia & Pacific,1.28
"Multi-country (Thailand, Vietnam)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,East Asia & Pacific,7
Regional - East Asia and Pacific,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,East Asia & Pacific,0.45
Regional - East Asia and Pacific,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,East Asia & Pacific,2.15
Regional - South East Asia,Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,East Asia & Pacific,5
Regional - East Asia and Pacific,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,East Asia & Pacific,0.5
Regional - East Asia and Pacific,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,East Asia & Pacific,2
Regional - Europe and Central Asia,Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Europe & Central Asia,4.37
"Multi-country (Tajikistan, Uzbekistan)",Green Climate Fund IRM (GCF IRM),Multilateral,Not applicable,Adaptation,Europe & Central Asia,19
Regional - Europe and Central Asia,Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Europe & Central Asia,1
"Multi-country (Kazakhstan, Tajikistan, Uzbekistan)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Europe & Central Asia,0.08
"Multi-country (Kazakhstan, Kyrgyzstan,Tajikistan, Uzbekistan)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Europe & Central Asia,6.5
"Multi-country (Kazakhstan, Uzbekistan)",Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,Europe & Central Asia,1.85
"Multi-country (Turkey, Ukraine)",Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,Europe & Central Asia,0.8
"Multi-country (Ukraine, Serbia)",Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,Europe & Central Asia,0.76
"Multi-country (Peru, Ecuador, Bolivia)",Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,7.94
"Multi-country (Jamaica, Mexico, El Salvador)",Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,6
Regional - Latin America and the Caribbean,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,10.39
Multi-country (Argentina and Uruguay),Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.1
"Multi-country (Chile, Ecuador)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,13.91
"Multi-country (Chile, Colombia, Peru)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.02
"Multi-country (Chile, Colombia, Peru)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.08
"Regional - Latin America and the Caribbean (Costa Rica, Dominican Republic, El Salvador, Guatemala, Honduras, Nicaragua and Panama)",Green Climate Fund IRM (GCF IRM),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,15.5
Multi-country (Argentina and Uruguay),Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,14
"Multi-country (Chile, Colombia, Peru)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,7.43
Regional - Latin America and the Caribbean,Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,1.09
"Multi-country (Cuba, Panama)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.1
"Multi-country (Costa Rica, Panama)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.02
Regional - Latin America and the Caribbean,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.95
Regional - Latin America and the Caribbean,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.48
Regional - Latin America and the Caribbean,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.74
"Multi-country (Belize, Guatemala, Honduras)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,13.25
"Multi-country (Argentina, El Salvador, Panama)",Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.8
Regional - Latin America and the Caribbean,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.75
"Multi-country (Guatemala, Honduras)",Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,0.92
"Regional - Latin America and the Caribbean (Costa Rica, Dominican Republic, El Salvador, Guatemala, Honduras, Nicaragua, Panama)",Green Climate Fund (GCF-1),Multilateral,Not applicable,Adaptation,Latin America & Caribbean,174.3
Global,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Not applicable,0.63
Global,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Not applicable,0.21
Global,Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Not applicable,1
Global,Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Not applicable,8.18
Global,Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Not applicable,4.5
"Multi-country (Seychelles, Nepal, Mauritania)",Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Not applicable,4.9
Global,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Not applicable,4
Global,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Not applicable,2
Global,Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Not applicable,4.5
Global,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Not applicable,6.2
"Global (Bangladesh, Cambodia, Lao PDR, Myanmar, Nepal, Timor Leste)",Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Not applicable,9
Multi-country,Global Climate Change Alliance (GCCA),Multilateral,Not applicable,Adaptation,Not applicable,7.09
"Global (Cambodia, Nepal, Philippines, Thailand)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Not applicable,0.02
Global,Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Not applicable,1.05
Multi-country,Global Climate Change Alliance (GCCA),Multilateral,Not applicable,Adaptation,Not applicable,6.8
Global,Global Environment Facility (GEF7),Multilateral,Not applicable,Adaptation,Not applicable,50.14
Multi-country,Green Climate Fund IRM (GCF IRM),Multilateral,Not applicable,Adaptation,Not applicable,29.07
Global,Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Not applicable,2
Global,Global Environment Facility (GEF7),Multilateral,Not applicable,Adaptation,Not applicable,20.12
Global,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Not applicable,1.98
Global,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Not applicable,1
Regional - Asia,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,Not applicable,0.3
Global,Special Climate Change Fund (SCCF),Multilateral,Not applicable,Adaptation,Not applicable,2
Global,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Not applicable,0.95
Global,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Not applicable,0.82
Global,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Not applicable,10
Global,Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Not applicable,1.83
Global,Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,Not applicable,0.72
"Multi-country (Armenia, Georgie, Pakistan)",Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,Not applicable,1.2
"Global (Bahamas, Brazil, Mexico, Rwanda, South Africa, Trinidad and Tobago)",Green Climate Fund (GCF-1),Multilateral,Not applicable,Adaptation,Not applicable,100
"Global (Bahamas, Belize, Brazil, Colombia, Comoros, Ecuador, Fiji, Guatemala, Indonesia, Jamaica, Jordan, Mexico, Mozambique, Panama, Philippines, Seychelles, Sri Lanka)",Green Climate Fund (GCF-1),Multilateral,Not applicable,Adaptation,Not applicable,125
"Regional (Benin, Burkina Faso, Ghana, Niger, Togo)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.02
"Regional (Burundi, Kenya, Rwanda, Tanzania, Uganda)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.02
"Regional (Benin, Burkina Faso, Ghana, Niger and Togo)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.08
"Regional (Burundi, Kenya, Rwanda, Tanzania, Uganda)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.08
"Regional (Burundi, Kenya, Rwanda, Tanzania, Uganda)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,5
"Multi-country (Ethiopia, Kenya, Uganda)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,6.8
"Multi-country (Cote d'Ivoire, Guinea)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.02
"Regional (Benin, Burkina Faso, Côte d’Ivoire, Ghana, Mali, Togo)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.02
"Regional (Djibouti, Kenya, Uganda, Sudan)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.02
"Regional (Benin, Burkina Faso, Ghana, Niger, Togo)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,14
"Regional (Benin, Burkina Faso, Côte d’Ivoire, Ghana, Mali, Togo)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.08
"Regional (Djibouti, Kenya, Uganda, Sudan)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.08
"Regional (Benin, Burkina Faso, Côte d’Ivoire, Ghana, Mali, Togo)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,7.92
"Multi-country (Angola, Namibia)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.02
Regional - Sub-Saharan Africa,Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.02
"Regional (Djibouti, Kenya, Uganda, Sudan)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,13.08
"Multi-country (Angola, Namibia)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.08
Regional - Sub-Saharan Africa,Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.08
"Multi-country (Chad, Sudan)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.1
Regional - Sub-Saharan Africa,Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.02
"Regional - Sub-Saharan Africa (Comoros, Madagascar, Mauritius, Seychelles)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.01
"Multi-country (Angola, Namibia)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,11.94
"Regional - Sub-Saharan Africa (Guinea, Mali, Mauritania, Senegal)",Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.02
Regional - Sub-Saharan Africa,Adaptation Fund (AF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,14
